date,state,dose,daily_vac
2021-04-04,Sabah,1st Dose,119
2021-04-04,Sarawak,1st Dose,1885
2021-04-04,Selangor,1st Dose,2
2021-04-04,Terengganu,1st Dose,657
2021-04-04,Kuala Lumpur,1st Dose,1
2021-04-04,Labuan,1st Dose,0
2021-04-04,Putrajaya,1st Dose,1
2021-04-05,Johor,1st Dose,1708
2021-04-05,Kedah,1st Dose,197
2021-04-05,Kelantan,1st Dose,754
2021-04-05,Melaka,1st Dose,252
2021-04-05,Negeri Sembilan,1st Dose,374
2021-04-05,Pahang,1st Dose,78
2021-04-05,Perak,1st Dose,771
2021-04-05,Perlis,1st Dose,4
2021-04-05,Penang,1st Dose,274
2021-04-05,Sabah,1st Dose,512
2021-04-05,Sarawak,1st Dose,759
2021-04-05,Selangor,1st Dose,1263
2021-04-05,Terengganu,1st Dose,658
2021-04-05,Kuala Lumpur,1st Dose,1251
2021-04-05,Labuan,1st Dose,84
2021-04-05,Putrajaya,1st Dose,263
2021-04-06,Johor,1st Dose,1369
2021-04-06,Kedah,1st Dose,770
2021-04-06,Kelantan,1st Dose,1065
2021-04-06,Melaka,1st Dose,233
2021-04-06,Negeri Sembilan,1st Dose,1599
2021-04-06,Pahang,1st Dose,6
